Brand,Product Name,Product URL,Ram,Upc,Discount Percentage,Mrp,Number Of Ratings,Number Of Reviews,Sale Price,Star Rating
Apple,"APPLE iPhone 8 Plus (Gold, 64 GB)",https://www.flipkart.com/apple-iphone-8-plus-gold-64-gb/p/itmexrgvuzgzttzh?pid=MOBEXRGV7EHHTGUH,2 GB,MOBEXRGV7EHHTGUH,0,49900,3431,356,49900,4.6
Apple,"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com/apple-iphone-8-plus-space-grey-256-gb/p/itmexrgvzkbyqgtf?pid=MOBEXRGVAC6TJT4F,2 GB,MOBEXRGVAC6TJT4F,0,84900,3431,356,84900,4.6
Apple,"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com/apple-iphone-8-plus-silver-256-gb/p/itmexrgvxatuyrqw?pid=MOBEXRGVGETABXWZ,2 GB,MOBEXRGVGETABXWZ,0,84900,3431,356,84900,4.6
Apple,"APPLE iPhone 8 (Silver, 256 GB)",https://www.flipkart.com/apple-iphone-8-silver-256-gb/p/itmexrgvae48gzhp?pid=MOBEXRGVMZWUHCBA,2 GB,MOBEXRGVMZWUHCBA,0,77000,11202,794,77000,4.5
Apple,"APPLE iPhone 8 (Gold, 256 GB)",https://www.flipkart.com/apple-iphone-8-gold-256-gb/p/itmexrgv8bvfbzgw?pid=MOBEXRGVPK7PFEJZ,2 GB,MOBEXRGVPK7PFEJZ,0,77000,11202,794,77000,4.5
Apple,"APPLE iPhone 8 Plus (Silver, 64 GB)",https://www.flipkart.com/apple-iphone-8-plus-silver-64-gb/p/itmexrgv7yfjbryy?pid=MOBEXRGVQGYYP8FV,2 GB,MOBEXRGVQGYYP8FV,0,49900,3431,356,49900,4.6
Apple,"APPLE iPhone 8 Plus (Space Grey, 64 GB)",https://www.flipkart.com/apple-iphone-8-plus-space-grey-64-gb/p/itmexrgvehtzhh9v?pid=MOBEXRGVQKBREZP8,2 GB,MOBEXRGVQKBREZP8,0,49900,3431,356,49900,4.6
Apple,"APPLE iPhone 8 (Space Grey, 256 GB)",https://www.flipkart.com/apple-iphone-8-space-grey-256-gb/p/itmexrgvypzqw6df?pid=MOBEXRGVZFZGZEWV,2 GB,MOBEXRGVZFZGZEWV,0,77000,11202,794,77000,4.5
Apple,"APPLE iPhone XS Max (Silver, 64 GB)",https://www.flipkart.com/apple-iphone-xs-max-silver-64-gb/p/itmf944ehzsh7emx?pid=MOBF944E2XAHW8V5,4 GB,MOBF944E2XAHW8V5,0,89900,1454,149,89900,4.6
Apple,"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)",https://www.flipkart.com/apple-iphone-xr-product-red-128-gb-includes-earpods-power-adapter/p/itmf9z7zbkvjzegf?pid=MOBF9Z7ZHQC23PWQ,4 GB,MOBF9Z7ZHQC23PWQ,20,52900,79512,6796,41999,4.6
Apple,"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",https://www.flipkart.com/apple-iphone-xr-black-64-gb-includes-earpods-power-adapter/p/itmf9z7zxu4uqyz2?pid=MOBF9Z7ZPHGV4GNH,4 GB,MOBF9Z7ZPHGV4GNH,16,47900,79512,6796,39999,4.6
Apple,"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",https://www.flipkart.com/apple-iphone-xr-coral-128-gb-includes-earpods-power-adapter/p/itmf9z7zgxx5wgez?pid=MOBF9Z7ZS6GF5UAP,4 GB,MOBF9Z7ZS6GF5UAP,20,52900,79582,6804,41999,4.6
Apple,"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",https://www.flipkart.com/apple-iphone-xr-black-128-gb-includes-earpods-power-adapter/p/itmf9z7zhdgzwmzm?pid=MOBF9Z7ZYWNFGZUC,3 GB,MOBF9Z7ZYWNFGZUC,20,52900,79512,6796,41999,4.6
Apple,"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",https://www.flipkart.com/apple-iphone-xr-white-128-gb-includes-earpods-power-adapter/p/itmf9z7zrz4tbhwm?pid=MOBF9Z7ZZY3HCDZZ,4 GB,MOBF9Z7ZZY3HCDZZ,20,52900,79512,6796,41999,4.6
Apple,"APPLE iPhone 11 Pro Max (Gold, 256 GB)",https://www.flipkart.com/apple-iphone-11-pro-max-gold-256-gb/p/itm94c6536eefc46?pid=MOBFKCTS7HCHSPFH,4 GB,MOBFKCTS7HCHSPFH,0,131900,1078,101,131900,4.7
Apple,"APPLE iPhone 11 Pro Max (Gold, 64 GB)",https://www.flipkart.com/apple-iphone-11-pro-max-gold-64-gb/p/itm6ef18218efdf6?pid=MOBFKCTSAPAYNSGG,4 GB,MOBFKCTSAPAYNSGG,0,117100,1078,101,117100,4.7
Apple,"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",https://www.flipkart.com/apple-iphone-11-pro-max-midnight-green-256-gb/p/itm68e0db18f9ecc?pid=MOBFKCTSCAAKGQV7,4 GB,MOBFKCTSCAAKGQV7,0,131900,1078,101,131900,4.7
Apple,"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",https://www.flipkart.com/apple-iphone-11-pro-max-space-grey-64-gb/p/itme0101031155f8?pid=MOBFKCTSKDMKCGQS,4 GB,MOBFKCTSKDMKCGQS,0,117100,1078,101,117100,4.7
Apple,"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",https://www.flipkart.com/apple-iphone-11-pro-midnight-green-64-gb/p/itm471de0d2e8474?pid=MOBFKCTSN3TG3RFJ,4 GB,MOBFKCTSN3TG3RFJ,29,106600,7088,523,74999,4.6
Apple,"APPLE iPhone 11 Pro (Space Grey, 512 GB)",https://www.flipkart.com/apple-iphone-11-pro-space-grey-512-gb/p/itmcd1f0ddbf1c21?pid=MOBFKCTSRTHRQTFT,4 GB,MOBFKCTSRTHRQTFT,15,140300,7088,523,117900,4.6
